,X,Season_playerid,PA,X1B,X2B,HR,R,RBI,BB,IBB,SO,GDP,SB,CS,AVG,BB.,K.,BB.K,OBP,SLG,ISO,BABIP,wRC,WAR,Spd,wRC.,WPA,SAC 
712,712,2002 _ 945,1.171146212,-0.736044797,2.41194954,0.058654886,0.919960678,0.122467918,1.732306082,0.502544223,-0.594640844,0.477349689,1.255357975,-1.31316723,1.130102088,15.20%,17.10%,0.23893698,1.82499211,1.132961378,0.850671618,1.782722734,1.88038494,1.093818367,1.108525715,1.457625262,1.99122069,-0.599098673
713,713,1958 _ 1000001,0.875682343,0.903556493,0.572392355,0.99106209,1.560110944,0.645194659,-0.080223171,1.797705834,1.200427872,-1.387694736,-0.596056588,0.960317033,1.782705926,8.90%,7.40%,0.876481518,1.085293867,1.46966403,0.963148787,0.552471449,1.537789091,1.855705697,-0.174810568,1.457625262,NA,-1.169901523
714,714,1984 _ 1008261,0.847542926,1.45334602,1.860835545,0.382188411,0.439670178,1.280980716,-0.85515053,0.377954014,1.643538323,-0.313349682,-0.809059584,0.959671015,2.399053994,6.20%,5.00%,0.95874533,0.948312711,1.348451076,0.545376446,1.038096956,1.494964609,1.52237999,-1.152590592,1.656355177,1.624715233,1.678248242
715,715,1986 _ 1000537,0.974170299,-0.994897059,0.653119072,1.83294217,1.363126324,1.137546134,0.322071023,-0.169653554,-1.460327373,0.794287257,-0.317697841,-0.518659429,0.441242482,10.30%,21.80%,-0.624833039,0.592161705,1.644749409,1.766557135,0.64959655,1.666262534,2.189031403,-0.358144322,1.417879279,1.082287158,-0.775082978
716,716,1993 _ 1009040,1.733934534,1.253569071,0.558010793,0.125608826,1.675113528,0.921393687,0.419226687,-0.561313438,0.7538087,0.253009228,0.551691927,0.390787196,2.000240538,10.60%,9.80%,0.629690084,1.523633567,0.971344105,0.288285774,1.426597362,2.094507345,0.903346535,0.986303212,1.29864133,1.917919598,-0.107217039
717,717,2003 _ 745,-1.305122407,-1.92761184,2.718273143,1.908265263,1.18443931,2.169372837,0.642075307,0.807302787,-0.451452296,0.282875793,-0.880346877,1.174148794,0.404986713,11.40%,16.30%,-0.151816124,0.619557936,2.08919691,2.312874813,-0.224529364,0.510001544,0.141459206,-1.152590592,1.338387313,1.013872806,-1.249147965
718,718,1950 _ 1003310,1.11486738,1.609750127,-0.031449362,-1.044932914,2.744063116,-0.463941875,0.828086304,NA,0.718241,-0.061698998,0.159128627,0.340173524,1.855217463,12.00%,10.00%,0.897047471,1.852388342,0.203662058,-0.579395243,2.074098039,1.452140128,0.665256745,1.658526979,0.225499787,NA,NA
719,719,2017 _ 9218,0.889752051,-0.951072726,0.565891246,1.513430374,2.054686888,1.674387674,1.430893303,1.615683881,-1.524480945,-0.120955021,0.397035652,0.106597744,0.731288632,14.10%,22.10%,-0.275211841,1.578426029,1.698621834,1.686216301,1.426597362,1.923209421,1.093818367,0.802969457,1.219149363,0.539859082,-0.968425073
720,720,1969 _ 1000505,1.860561907,-0.504637669,-0.875154337,0.819184142,0.731462918,0.944728993,1.715074094,-0.24524916,0.498714872,0.44256249,-0.816052343,0.400392447,0.151196332,15.10%,11.20%,1.184970811,1.468841104,0.634641453,0.706058115,-0.548279702,1.923209421,2.284267319,-0.908145586,1.616609194,NA,-1.227893473
721,721,1956 _ 1000067,-1.431749779,-0.945802811,0.132947946,2.788907344,1.049862181,2.377853104,-0.795668798,0.367955519,-0.616792081,-0.234448822,-0.785962501,1.174148794,0.513754019,6.40%,17.20%,-0.830492568,-0.257121463,2.156537441,2.345011146,-0.515904668,0.295879138,0.617638787,-0.969256838,1.69610116,NA,1.721349548
722,722,2000 _ 634,1.62137687,1.332851225,-0.218197284,0.714879348,0.816640425,2.235689546,0.21246377,-0.226159057,0.836821695,-0.105126039,-0.353795269,0.580072268,2.036496307,9.90%,9.30%,0.588558179,1.660614723,1.15989759,0.465035611,1.038096956,2.137331826,0.189077164,-0.724811831,0.702451583,1.023646284,0.66227512
723,723,1977 _ 1006308,0.059639275,-1.39918945,1.68278716,1.435841334,1.111367012,1.703767229,0.877049852,-0.270227511,-1.373090184,1.808065032,0.44352638,0.471256271,0.332475176,12.20%,21.30%,-0.419173511,0.783935324,1.523536455,1.686216301,0.714346618,1.152368761,0.950964493,0.497413199,1.656355177,1.712676543,-0.889606187
724,724,1965 _ 1011066,1.016379423,-0.600552991,0.382981866,1.211609643,1.457883522,1.322079348,0.3516029,2.10618046,-0.179495536,-0.087277335,0.029888201,-0.721783858,0.695032863,10.40%,14.80%,-0.151816124,1.085293867,1.388855394,1.348784794,0.261096144,1.623438053,1.093818367,0.558524451,1.537117228,NA,-0.979235267
725,725,1999 _ 1000802,1.69172541,-0.658453747,0.458975166,1.344911915,0.948476139,1.167725203,1.388747729,1.405203388,0.464356187,-0.751476138,0.230826522,0.584186372,0.731288632,14.00%,11.40%,0.938179377,1.468841104,1.4023235,1.348784794,-0.256904397,2.137331826,0.331931038,-0.052588064,1.099911414,1.033419763,-1.032337978
726,726,2013 _ 3531,-1.262913283,0.102807401,0.701533191,1.203833614,0.572420542,1.115586298,0.566637603,0.103860236,-0.506054892,0.295287436,-0.788174635,1.174148794,1.275125163,11.10%,16.60%,-0.213513982,1.222275023,1.388855394,1.10776229,1.135222058,0.424352581,0.950964493,-1.45814685,1.17940338,0.403030378,-0.46363379
727,727,2013 _ 4314,1.748004242,-0.059542431,-0.261990443,0.283873301,0.509186589,-0.525592135,2.714587071,2.042894212,-0.95140033,-0.074056756,-0.490328795,0.587436853,1.021334782,18.60%,19.00%,0.424030556,2.427709198,0.728918195,0.41683111,1.976972938,2.051682864,1.331908158,-0.480366825,1.735847143,1.184908685,-0.665675098
728,728,1994 _ 1001638,-2.332211095,-1.672422597,0.703046062,1.165158187,1.793822053,1.000137231,1.719391414,-0.237123761,-0.107836564,0.477750811,-0.880346877,0.848496754,0.078684794,15.10%,14.40%,0.567992226,1.304463717,1.415791606,1.654079967,-0.515904668,-0.046716711,-0.191866501,-0.358144322,1.060165431,-0.466809239,0.382858903
729,729,2004 _ 409,0.228475772,-1.996016769,0.074475187,2.319961197,1.257960788,1.383951968,2.206094667,3.922265508,-1.745739325,0.462634104,-0.880346877,0.714652711,-0.102594049,16.80%,23.30%,-0.110684218,1.35925618,1.941047743,2.361079313,-0.030279161,1.366491166,0.570020829,-1.397035598,1.139657397,0.344389505,-0.90685633
730,730,1987 _ 1012829,0.917891467,0.242677647,-0.333127517,1.329043333,0.648130639,0.875159501,0.771370305,-0.695990099,-1.207045952,-0.113392549,-0.243570729,0.322668796,1.166357857,11.80%,20.40%,-0.398607558,1.194878792,1.4023235,1.15596679,1.653222599,1.794735977,-0.001394668,-0.174810568,1.338387313,0.833063447,-0.769068552
731,731,1953 _ 1008984,0.74905497,0.942878504,-0.657216463,-0.308641318,1.334380711,1.077654647,0.614102153,NA,1.351170634,-1.805553426,0.920881667,-2.294169733,1.311380932,11.30%,6.60%,1.945911066,1.742803417,0.392215543,-0.1134184,0.64959655,1.323666685,0.808110619,1.230748218,1.099911414,NA,NA
732,732,1985 _ 1008261,1.76207395,0.173514146,1.823644212,1.163869916,0.847560928,2.19749901,-0.42064159,1.063152482,1.522386292,-0.070652098,-0.750519675,0.783545521,1.710194388,7.70%,5.60%,1.226102717,0.674350399,1.752494258,1.348784794,-0.030279161,2.051682864,1.52237999,-0.847034334,1.576863211,1.839731768,1.369231198
733,733,2011 _ 4727,1.832422491,0.323858006,1.55488324,0.905608425,1.493444541,0.65539147,-0.59307774,-0.888931748,0.088599185,1.091850626,1.633991001,-1.735365339,1.601427082,7.10%,13.40%,-0.501437322,0.811331555,1.550472667,1.123830457,1.199972125,2.137331826,3.093772607,1.230748218,1.537117228,2.528762026,-0.307060382
734,734,1963 _ 1008423,0.355103144,-0.821720261,-1.192351783,2.44913104,1.565050971,1.185059696,-0.342465456,-0.10784662,-0.946034407,0.490459396,-0.805080229,0.947698571,0.114940563,8.00%,19.00%,-0.727662803,0.099029543,1.739026152,2.00757964,-0.483529634,1.280842204,1.617615906,-0.297033071,2.014069025,NA,-1.34867458
735,735,1998 _ 1044,0.341033436,-0.9816315,1.239443333,1.244238933,0.972621333,1.324167619,1.316527805,-0.10634094,-1.897555767,1.635640553,1.079712044,0.040088972,0.586265557,13.70%,24.10%,-0.419173511,1.222275023,1.388855394,1.413057462,1.717972667,1.366491166,1.569997948,0.497413199,1.29864133,1.443905875,-0.91798901
736,736,1956 _ 1012043,-1.108146494,0.379606072,-0.360719036,0.920846043,0.929802056,1.444009845,0.113980761,-0.372411024,0.443088241,-1.263849895,-0.519412362,0.088226884,1.130102088,9.60%,11.50%,0.115541263,0.975708942,1.227238121,0.963148787,0.487721381,0.424352581,0.522402871,0.008523187,1.17940338,NA,-1.005962193
737,737,1972 _ 1000450,-1.389540655,0.906074752,0.781198018,0.32700425,-0.156420358,0.866049882,-0.062728109,-0.580436199,0.064375363,0.257608354,-0.505061089,-0.801775715,1.601427082,8.90%,13.50%,-0.234079935,1.003105174,0.904003575,0.384694776,1.426597362,0.124581214,0.903346535,-0.908145586,1.338387313,NA,0.362606712
738,738,1967 _ 1011447,1.339982709,0.080908244,-0.964766979,0.9499711,1.113453821,0.577193486,1.32668723,0.475807696,-0.168545216,-0.520797681,-0.81263929,0.155610131,0.840055938,13.80%,14.80%,0.321200792,1.331859948,1.011748423,0.834603451,0.455346347,1.666262534,3.141390565,-0.66370058,1.656355177,NA,0.539198142
739,739,1985 _ 1009355,1.551028329,-0.240966446,0.043774379,1.386898872,1.626164127,0.998363309,1.000600168,1.439692233,-1.098529879,0.045530892,-0.21753525,0.575900383,0.840055938,12.60%,19.80%,-0.275211841,1.14008633,1.375387288,1.268443959,1.135222058,1.966033902,0.808110619,0.008523187,1.537117228,2.401706801,-0.832834562
740,740,2001 _ 518,0.38324256,-0.447707846,2.155248063,1.230460881,2.877718205,1.21459172,0.062093845,2.519920869,-0.405330186,0.686994138,0.470144986,0.496958223,1.456404007,9.40%,16.10%,-0.398607558,1.194878792,1.900643425,1.621943633,1.297097227,1.537789091,1.712851822,1.352970721,1.378133296,1.199568904,-0.708116311
741,741,1962 _ 1011949,1.649516286,0.43552334,-0.815160781,0.383781669,1.32493348,1.186342304,1.765852637,0.42910864,0.301169623,0.235083329,-0.683439278,0.976674121,1.130102088,15.30%,12.20%,0.979311283,1.797595879,0.78279062,0.432899277,0.811471719,2.008858383,1.093818367,-0.113699316,1.060165431,NA,-0.280465019
742,742,1990 _ 923,-1.375470947,-0.915208025,0.102124189,1.59627887,0.999228217,0.967057808,1.01728448,-0.112334981,-0.811822443,1.925736544,0.14964135,-0.516140369,0.187452101,12.70%,18.30%,-0.151816124,0.729142861,1.321514863,1.493398297,0.034470907,0.295879138,0.189077164,0.13074569,1.338387313,0.818403229,-1.510945035
743,743,1987 _ 1002318,-0.19361547,-0.249672098,0.41323354,1.827767316,1.023022373,0.967057808,-0.239172555,1.160756467,-0.518102019,1.993649816,-0.479052762,-2.930839174,1.130102088,8.30%,16.70%,-0.563135181,0.674350399,1.927579637,1.798693469,0.746721652,1.152368761,0.570020829,-0.052588064,1.537117228,1.487886529,-0.633516376
744,744,2013 _ 745,-0.024778973,-0.595353445,1.596406334,1.272195046,0.546187485,1.432515364,1.008146611,4.268439694,-0.148014284,-1.791835982,-0.565732291,1.174148794,1.166357857,12.70%,14.70%,0.177239122,1.331859948,1.71208994,1.525534631,0.714346618,1.066719798,0.236695122,-0.480366825,1.576863211,0.569179518,-0.65640582
745,745,1956 _ 1006678,1.283703876,0.469142825,0.147811576,0.628236278,0.484409204,1.791491806,0.269640625,-0.36817154,1.097360314,0.672427973,-0.403658111,0.969265259,1.347636701,10.10%,7.90%,1.020443188,1.003105174,1.254174333,0.898876119,0.358221246,1.709087015,1.617615906,0.558524451,1.020419448,NA,-0.80692125
746,746,1993 _ 1003619,2.409280521,-0.185060203,1.055018479,-0.210708559,2.434696101,-0.943266235,2.165724334,0.325753409,1.033904543,1.161294911,1.378528868,-1.030005768,1.021334782,16.70%,8.30%,2.562889652,2.016765729,0.607705241,0.272217607,0.455346347,2.437103194,1.855705697,1.352970721,1.258895347,1.771317416,-0.907419805
747,747,1966 _ 1006905,1.058588547,-1.037944594,-0.383610795,1.71595532,0.187836951,1.179610981,1.741430256,2.092192649,-0.112663708,0.277660989,-0.880346877,0.754697421,0.151196332,15.20%,14.50%,0.567992226,1.222275023,1.361919182,1.557670965,-0.677779837,1.709087015,1.474762032,-1.641480605,1.855085093,NA,-1.181578231
748,748,1999 _ 314,0.946030883,0.800681772,1.549710956,0.535376665,1.13217673,0.7803809,-0.013286883,1.24639042,0.131902597,-0.28494706,-0.880346877,0.74968156,2.000240538,9.10%,13.20%,-0.172382077,1.441444873,1.375387288,0.754262616,1.782722734,1.709087015,0.570020829,-0.908145586,0.821689533,0.706008222,-0.772084755
749,749,2017 _ 5235,-0.826752333,0.214617004,1.22478866,0.611493769,0.235448953,0.306050852,0.489711361,0.037963108,0.65759106,-0.246362536,-0.271976131,0.912667598,1.637682851,10.90%,10.30%,0.567992226,1.879784573,1.254174333,0.770330783,0.876221787,0.895421874,1.189054284,-0.602589328,1.576863211,1.013872806,0.204920137
750,750,1952 _ 1004877,0.059639275,0.04655876,-0.68571937,0.762003679,-0.550925714,0.113513413,1.019546329,NA,1.069733145,0.424248058,-0.880346877,0.236958763,0.441242482,12.70%,8.10%,1.637421774,1.030501405,0.621173347,0.529308279,-0.580654736,0.76694843,0.903346535,-1.397035598,1.258895347,NA,NA
751,751,1979 _ 1010450,1.086727963,-0.587611559,-0.890909228,0.073705381,0.913373015,1.247535354,2.491590205,0.342192514,0.794555753,0.460350163,-0.671839419,0.337717043,0.513754019,17.80%,9.60%,2.233834406,2.04416196,0.634641453,0.529308279,-0.19215433,1.666262534,2.189031403,0.191856942,1.29864133,1.575847839,1.591715068
752,752,1963 _ 1000166,0.341033436,-1.429490115,-0.379028711,1.616987102,1.307868069,0.708388825,1.500452971,-0.672777794,-0.656047393,1.06152388,-0.428025587,0.94733683,-0.211361356,14.40%,17.40%,0.115541263,0.866124017,1.294578651,1.6380118,-0.677779837,1.238017723,1.903323655,0.191856942,1.537117228,NA,-0.487989245
753,753,1951 _ 1014357,1.607307162,-0.517040738,0.494252993,-0.666876328,1.059710569,-0.794568475,2.427528283,NA,1.14453608,1.229910055,-0.484881615,0.380940472,0.223707869,17.60%,7.70%,3.118170378,2.098954423,-0.173444912,-0.306236404,-0.062654194,1.623438053,0.617638787,-0.235921819,1.020419448,NA,NA
754,754,1999 _ 1297,1.11486738,-2.095441407,1.08436947,2.124521227,1.634647486,2.123698319,0.997157015,0.164539533,-1.265342304,0.466049955,-0.81104851,0.965654977,-0.175105587,12.60%,20.70%,-0.336909699,0.838727786,1.806366683,2.216465811,-0.483529634,1.794735977,0.331931038,-1.274813095,0.901181499,0.833063447,-0.394538488
755,755,1995 _ 1001918,-2.135235182,-0.322781716,0.939726288,1.466645341,0.639460577,1.661966272,0.04867033,0.000233105,-1.258277487,0.005149203,-0.460860762,1.174148794,1.057590551,9.30%,20.70%,-0.665964945,0.866124017,1.604345091,1.445193796,1.394222328,-0.00389223,-0.191866501,-0.358144322,0.940927482,0.603386694,-0.282544913
756,756,1993 _ 293,0.538009349,-0.704868872,0.07490212,1.727937924,1.949656039,1.05105323,0.780270994,0.057689732,-0.498826616,-0.219473945,-0.511657909,0.508597436,0.513754019,11.90%,16.60%,-0.110684218,0.783935324,1.510068349,1.589807299,-0.030279161,1.409315647,0.760492661,-0.235921819,1.258895347,1.199568904,-0.72650474
757,757,1987 _ 1006318,0.256615188,-0.199684806,-0.210220336,1.366283898,-0.388047838,-0.229893471,0.844107118,-0.669123363,0.387220127,-1.270130606,-0.728114013,0.487128038,0.840055938,12.10%,11.80%,0.52686032,1.112690098,1.4023235,1.300580293,-0.062654194,1.409315647,0.855728577,-1.030368089,1.29864133,0.114712752,-1.343827487
758,758,1970 _ 1000826,0.974170299,-0.994897059,0.653119072,2.267629863,0.737598882,2.778923716,-0.321392951,0.534945493,-0.246924965,0.258673193,-0.52869123,0.750946738,0.586265557,8.00%,15.20%,-0.501437322,-0.037951613,2.02185638,2.152193143,-0.580654736,1.580613572,2.379503235,-0.174810568,1.29864133,NA,0.628984809
759,759,2000 _ 1266,1.072658255,-1.096733807,-0.139520311,1.710998808,0.984488474,1.57912028,1.734971121,1.913226446,0.464431789,-0.072596469,-0.741136883,0.964732438,0.404986713,15.20%,11.40%,1.164404858,1.386652411,1.631281303,1.750488968,-0.87203004,1.837560458,0.093841248,-0.785923083,0.742197567,1.248436298,-0.388417028
760,760,2017 _ 15429,0.889752051,-1.056471032,1.073742624,0.899376812,1.675984109,-0.271632055,1.474177948,-0.161706948,-0.995784182,0.959938324,-0.383587005,0.106597744,0.658777094,14.30%,19.20%,-0.069552312,1.715407186,1.348451076,1.31664846,1.135222058,1.88038494,1.808087739,0.069634439,1.378133296,0.354162984,-0.563643339
761,761,1991 _ 327,0.439521393,0.459316447,1.851164402,0.382884457,-0.290618026,1.055606906,0.590706219,2.870808211,0.168869684,0.508570013,0.461611072,-0.171673857,1.818961694,11.20%,13.00%,0.197805075,1.441444873,1.213770015,0.657853614,1.556097498,1.280842204,1.903323655,-0.297033071,1.457625262,1.561187621,0.986101577
762,762,1994 _ 114,-3.063835914,-1.745265427,-0.232916651,2.457126529,1.337551374,2.298692541,1.18505005,2.335434595,0.15653708,-0.718636497,0.594408994,-1.044355733,-0.030082512,13.30%,13.00%,0.506294367,0.92091648,1.981452062,2.361079313,-1.649030853,-0.474961522,-0.287102417,0.191856942,1.219149363,0.627820391,-0.025515539
763,763,2005 _ 556,0.31289402,-1.359153345,0.308303167,1.720926495,0.454708107,1.162469296,1.283073468,0.654354707,-0.962919007,0.097302289,-0.42657584,-0.418623686,0.223707869,13.60%,19.10%,-0.131250171,1.14008633,1.617813197,1.830829803,0.066845941,1.366491166,1.52237999,-0.480366825,1.29864133,0.520312124,-0.699543617
764,764,1951 _ 1013335,-1.009658537,0.231178078,0.550320331,-0.874095942,0.609542793,-0.436860145,1.435385106,NA,1.86768369,-0.311301018,0.099113626,-0.433220523,0.912567476,14.20%,3.80%,6.120799493,1.797595879,0.122853421,-0.258031903,0.196346076,0.295879138,0.331931038,0.92519196,0.821689533,NA,NA
765,765,1992 _ 1003010,-0.235824594,-1.838400341,0.867563646,1.047829322,0.409865274,1.836113627,1.692080986,1.172095743,-0.692074885,1.78677554,0.007027596,0.688732419,-0.247617125,15.00%,17.60%,0.156673169,1.057897636,1.173365696,1.509466464,-0.354029499,0.76694843,2.046177529,0.680746954,1.775593126,1.448792614,-0.397579038
766,766,1960 _ 1006905,-1.192564742,-1.039346356,-0.647991425,1.853289253,1.489562721,0.966423791,1.315104787,-0.364542652,-1.22797372,0.083933853,-0.789066049,1.174148794,-0.030082512,13.70%,20.50%,-0.213513982,0.783935324,1.308046757,1.573739132,-0.127404262,0.3815281,0.189077164,-0.908145586,1.17940338,NA,-0.997002507
767,767,1992 _ 1012829,-1.06593737,-1.321569812,-0.701082083,1.128020873,0.415321436,1.155254913,2.99860387,2.095511824,-1.479673445,0.806846015,-0.7009089,0.634284575,-0.3926402,19.60%,21.90%,0.259502933,1.715407186,0.701981983,1.011353288,0.261096144,0.338703619,0.379548996,-1.519258101,1.656355177,1.121381073,-1.26623977
768,768,2009 _ 5409,0.439521393,0.514679696,2.117926777,0.65935407,-0.09169437,0.620628882,-0.273277162,1.377013707,0.139636846,0.508570013,-0.50758078,0.052629918,1.927729001,8.20%,13.10%,-0.295777794,1.112690098,1.604345091,1.059557789,1.653222599,1.366491166,1.093818367,-0.358144322,1.378133296,1.693129585,-0.714876957
769,769,1950 _ 1011011,1.874631615,1.299933942,0.384515754,-1.088987103,1.808229524,-0.821722738,0.965068084,NA,1.584097016,1.423178328,-0.109862177,-0.371258441,1.710194388,12.50%,5.30%,3.262132048,1.961973267,0.028576679,-0.724008745,1.264722193,1.794735977,1.903323655,0.558524451,0.543467651,NA,NA
770,770,1973 _ 1008289,0.509869933,-0.68873337,-1.104127863,0.73273263,0.393558789,1.021517719,2.866342368,2.099033895,0.2746669,1.462265717,-0.658440037,1.174148794,0.042429026,19.10%,12.40%,1.575723915,1.934577035,0.553832816,0.641785447,-0.483529634,1.195193242,0.998582451,-0.724811831,1.497371245,NA,-0.93416455
771,771,1996 _ 97,1.283703876,0.115153566,0.147811576,0.880769128,1.574614173,1.076320145,0.97574871,-1.050402363,0.216199042,-0.019052618,0.073030656,0.969265259,1.166357857,12.60%,12.70%,0.444596509,1.277067486,1.254174333,0.979216954,0.617221516,1.966033902,1.617615906,0.741858206,1.29864133,1.688242846,-0.224280875
772,772,2005 _ 1744,1.171146212,0.287165031,1.549158239,1.165744155,1.165057854,1.368537082,0.05147172,1.020193085,-0.81075047,-1.096651933,-0.811453172,1.174148794,1.673938619,9.30%,18.20%,-0.542569228,1.057897636,1.671685622,1.252375792,1.91222287,1.794735977,1.046200409,-0.908145586,1.378133296,0.588726476,-0.599098673
773,773,1974 _ 1006308,0.031499859,-0.572144878,-0.256214193,1.15629752,0.924221473,0.945350059,1.460561917,2.863388702,-0.65085976,0.814387564,1.072972157,-0.001217842,0.441242482,14.20%,17.40%,0.09497531,1.222275023,1.038684635,1.043489622,0.293471178,0.852597393,1.331908158,0.436301948,1.934577059,1.976560471,0.004659492
774,774,1977 _ 1009179,0.608357889,-0.364437196,-1.001952253,0.345164572,2.023372963,0.03553286,2.583472784,-0.683901618,0.902002078,1.472454935,2.704796077,-1.027158023,0.404986713,18.10%,9.00%,2.562889652,1.934577035,0.553832816,0.481103778,-0.386404533,1.409315647,1.379526116,1.780749482,1.29864133,1.634488712,-0.734655777
775,775,1959 _ 1007200,0.214406064,2.099755536,1.996435322,-0.793642363,1.404692977,-0.125742649,-0.398566913,-0.858835929,1.456299049,1.236147158,-0.34494118,0.713907985,2.761611682,7.80%,6.00%,1.082141047,1.523633567,0.863599256,-0.193759235,2.106473073,1.195193242,0.474784913,0.680746954,1.338387313,NA,-0.251036376
776,776,1981 _ 1004250,-1.825701605,-0.283512908,0.36334247,1.074448984,0.361222201,1.955974554,0.472303501,0.201679101,-0.374353252,-0.644608152,-0.480413081,1.174148794,0.658777094,10.80%,15.90%,-0.192948029,0.729142861,1.106025166,1.043489622,0.422971313,-0.089541192,0.427166954,-0.113699316,1.616609194,1.434132396,-0.637395943
777,777,1956 _ 1006398,1.002309715,0.813213471,-0.865412025,0.089024234,-0.340669149,0.67433865,1.168677115,-0.172270935,1.383661351,-1.693041849,-0.109003539,0.541232198,1.383892469,13.20%,6.40%,2.665719416,1.605822261,0.809726832,0.352558442,0.422971313,1.537789091,0.855728577,0.619635703,0.742197567,NA,-0.778063381
778,778,2005 _ 327,-0.657915836,-0.611139453,0.812954078,2.034229984,1.098263353,1.270039316,0.162770212,-0.411502416,-0.534772637,0.458442763,-0.880346877,0.918321245,0.876311707,9.70%,16.80%,-0.398607558,0.619557936,1.873707213,1.84689797,0.196346076,0.809772912,-0.001394668,-1.641480605,1.219149363,1.048079982,-0.080457936
779,779,1970 _ 1004566,0.38324256,0.945175166,-0.260881109,1.044975703,0.80910194,0.776847539,-0.761621881,-0.674578865,-1.611498478,-0.646222216,-0.580237574,0.948418604,1.492659776,6.50%,22.60%,-0.99502019,0.48257678,1.429259712,1.027421455,2.559723547,1.238017723,1.236672242,0.497413199,1.29864133,NA,-1.350039648
780,780,2000 _ 409,1.157076504,-1.804506228,0.322545794,1.510993654,1.174553577,0.972808457,2.327847321,-0.359194818,-2.060134245,0.999971411,-0.81135245,1.174148794,-0.283872893,17.30%,25.00%,-0.172382077,1.414048642,1.267642439,1.6380118,0.64959655,1.837560458,0.712874703,-1.091479341,0.78194355,0.574066258,-0.794144048
781,781,2005 _ 548,-0.517218755,-1.014031891,1.329915443,0.833391284,0.315893745,0.701927429,1.998190278,1.45996557,0.207881295,-1.415476253,-0.546242892,0.922849166,0.586265557,16.10%,12.70%,0.999877235,1.770199648,1.173365696,1.139898624,0.099220975,0.895421874,-0.096630584,-0.785923083,1.29864133,1.067626939,-1.301564022
782,782,1961 _ 1006678,0.889752051,0.629901856,1.454631158,0.022157438,1.991569758,0.101010021,0.218923264,-0.694924197,1.397264326,-0.481252802,0.113172868,0.960638584,1.710194388,9.90%,6.30%,1.637421774,1.277067486,1.052152742,0.497171945,0.779096685,1.580613572,2.284267319,1.352970721,1.020419448,NA,0.043529262
783,783,1952 _ 1013335,-1.50209832,-0.613052908,0.683876919,-1.055316056,0.520749369,-0.679823599,3.235294585,NA,1.967840843,-0.019052618,0.263706162,-1.981057644,0.151196332,20.40%,3.20%,11.38568342,2.345520504,-0.402402716,-0.547258909,-0.515904668,-0.00389223,0.04622329,0.191856942,0.980673465,NA,NA
784,784,1956 _ 1000001,0.81940351,0.838303052,0.598593797,0.653489563,1.411083428,0.543914576,-1.024198603,0.024111184,1.051967157,-1.410657307,-0.737340247,0.313637948,1.855217463,5.60%,8.20%,-0.172382077,0.509973011,1.631281303,1.123830457,0.843846753,1.452140128,1.903323655,0.375190696,1.656355177,NA,0.669101032
785,785,1990 _ 1001918,-0.545358172,-0.934598391,-1.651335553,2.189185334,0.857815701,1.645338213,1.043253558,0.629121476,-2.627098136,0.486047547,0.712284685,-1.347774646,-0.102594049,12.80%,28.10%,-0.645398992,0.674350399,1.429259712,1.734420801,0.876221787,0.724123949,1.093818367,0.252968193,1.81533911,0.710894962,-0.58269612
786,786,1987 _ 1000808,0.917891467,-0.33527483,0.299783215,2.466009074,1.654976608,2.237416764,-0.954823904,0.544452827,0.48525928,-0.652218691,-0.52658235,0.961278795,1.130102088,5.80%,11.20%,-0.522003275,0.153822005,2.26428229,2.200397644,-0.483529634,1.751911496,1.141436326,0.191856942,1.258895347,1.004099327,0.038067439
787,787,1984 _ 1014127,0.341033436,1.761502514,0.834825322,0.125994428,1.777213499,1.104246621,-0.200854812,0.648908198,0.467222088,-0.278081689,-0.428025587,0.266900937,2.290286688,8.50%,11.30%,-0.04898636,1.277067486,1.052152742,0.240081273,1.976972938,1.195193242,0.903346535,0.13074569,1.576863211,1.321737389,-0.487989245
788,788,2016 _ 1744,1.086727963,0.238189597,0.103851203,1.620143659,0.357031303,1.085331472,0.541550045,1.560713031,-0.595317182,-2.186167046,-0.880346877,1.174148794,1.420148238,11.00%,17.10%,-0.254645888,1.277067486,1.698621834,1.396989295,1.199972125,1.88038494,0.903346535,-1.824814359,1.656355177,0.999212587,-0.786899244
789,789,1997 _ 867,-0.348382259,-1.78275121,1.663228691,1.085158801,0.853164264,0.761977893,1.103595378,0.588370464,-0.993806934,0.740137944,0.755430865,-2.024804007,0.151196332,13.00%,19.20%,-0.192948029,0.975708942,1.563940773,1.782625302,0.520096415,0.938246355,0.950964493,1.291859469,1.060165431,1.48299979,-1.078214226
790,790,2007 _ 319,0.425451685,-2.02598535,-0.143855162,2.047534828,1.377675775,1.323889238,1.962157521,0.44575574,-2.265087895,0.126464658,-0.208306227,0.724831422,-0.465151737,16.00%,26.10%,-0.336909699,1.085293867,1.577408879,2.071852308,0.196346076,1.409315647,-0.001394668,0.13074569,0.940927482,0.63759387,-0.926153563
791,791,1968 _ 1006080,0.861612634,-1.147720847,-0.185161961,2.226849207,-0.328722557,1.107961727,-0.293441575,1.088900626,-1.369359628,0.052129208,-0.880346877,1.174148794,-0.102594049,8.10%,21.30%,-0.809926615,-0.229725232,1.550472667,1.895102471,-0.386404533,1.195193242,0.998582451,-1.519258101,2.33203689,NA,-0.762981553
