,X,Season_playerid,PA,X1B,X2B,HR,R,RBI,BB,IBB,SO,GDP,SB,CS,AVG,BB.,K.,BB.K,OBP,SLG,ISO,BABIP,wRC,WAR,Spd,wRC.,WPA,SAC
19,19,2000 _ 210,-0.981519121,-0.582178657,1.645075424,2.522232654,1.928452628,3.020039615,2.015236001,0.94916232,-1.503611336,0.374454429,-0.791639757,0.907261032,2.689100145,16.20%,22.00%,-0.069552312,3.030426285,3.50334805,2.987737825,3.369099393,2.222980788,0.903346535,-0.969256838,2.769242703,2.015654387,-0.766034206
20,20,1994 _ 1000802,-1.71314394,-0.449332876,2.405529962,2.730572256,2.539899823,2.499462085,0.840238262,1.165781828,-0.171144768,1.153223071,0.004506646,-0.600654827,2.906634757,12.10%,14.80%,0.09497531,2.509897891,3.732305853,3.164487662,1.944597904,1.623438053,1.141436326,0.008523187,2.967972619,1.497660008,-0.376010139
21,21,2000 _ 432,1.339982709,-0.170490154,3.396051526,1.870610946,2.980253866,2.512876898,1.615769036,2.680333338,0.946496739,0.338592652,-0.541808944,0.563025596,3.450471288,14.80%,8.80%,1.884213208,3.194803672,3.516816156,2.666374486,1.879847836,3.978784514,2.569975068,-0.419255574,2.014069025,3.809087754,0.153000362
22,22,1951 _ 1009405,1.072658255,0.919125378,-0.014991857,1.108719135,2.3464407,1.091790919,1.522697608,NA,1.474258203,1.340961199,-0.601926889,0.127067012,2.83412322,14.50%,5.90%,3.447225624,2.811256435,2.385495244,1.605875466,1.394222328,3.079470411,2.712828942,0.375190696,2.72949672,NA,NA
23,23,2000 _ 1297,1.536958621,-1.070998506,3.017827699,1.719348677,1.458846979,2.011273814,2.341697189,1.941913844,-0.140727043,0.379205191,-0.880346877,0.974452184,2.435309763,17.30%,14.60%,0.835349613,3.386577291,3.058900549,2.569965484,2.041723005,3.978784514,2.141413445,-1.519258101,2.689750737,2.66559073,-1.020801893
24,24,1954 _ 1008315,0.538009349,0.061739116,0.602591443,2.092532227,2.47431718,1.438251637,0.330516487,NA,0.917915492,0.154897968,-0.290444529,0.064896531,2.471565532,10.30%,8.90%,0.794217707,1.770199648,3.099304867,2.602101818,0.843846753,2.565576637,3.522334229,0.92519196,2.451274839,NA,-0.305911219
25,25,2000 _ 818,0.875682343,-0.732577595,-0.063377913,2.133164724,1.496898758,2.386809983,3.301063724,0.017638211,-0.109370585,0.777347656,-0.738201733,1.174148794,2.036496307,20.60%,14.50%,1.349498434,3.550954678,2.829942745,2.473556482,1.167597092,3.507715222,2.284267319,-1.091479341,2.848734669,2.504328329,-0.156423161
26,26,1954 _ 1012230,1.086727963,-0.174710981,1.098611635,1.791970134,2.087872183,1.977452822,0.923079642,NA,-0.050268972,0.283915682,-0.463331962,-0.080498832,2.326542457,12.40%,14.10%,0.218371027,2.098954423,2.829942745,2.361079313,1.653222599,2.908172486,2.569975068,0.558524451,2.33203689,NA,-0.390463525
27,27,1956 _ 1014040,-1.389540655,0.000340805,0.94905148,1.138824566,0.59458565,1.194488557,3.199109745,1.534411537,1.131228673,-0.695067688,-0.880346877,1.174148794,2.471565532,20.30%,7.80%,3.796846822,3.633143372,2.26428229,1.605875466,1.264722193,1.494964609,1.617615906,-1.45814685,2.491020822,NA,-1.77798854
28,28,1995 _ 1086,0.523939641,-0.312909903,3.119851189,1.002885953,2.617901088,1.57492574,2.587453579,2.464047266,0.046585839,0.338861632,-0.58493412,0.507555885,2.870378988,18.20%,13.60%,1.143838905,3.633143372,2.57404873,1.798693469,2.721598716,3.03664593,1.950941613,-1.030368089,2.808988686,3.178698369,-0.935485088
29,29,1993 _ 1109,1.016379423,-1.01651663,1.009319341,2.336767134,2.703369912,1.730597285,2.743175827,6.490323271,0.397050638,0.44595269,1.150177527,-1.353761408,2.145263613,18.70%,11.70%,1.678553679,3.057822516,3.233985928,2.90739699,0.714346618,3.250768335,3.617570145,0.741858206,3.2461945,3.281319897,-0.380170313
